display_name,model_name,model_family,split_name,role,config_name,distance_range,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,cv_oof,poster,random_forest_top_24,far,3175,16.768007243424726,14.630643872585864,0.12288364693549662,0.11908458685401013,20.41804068188806,-0.9242188901101087,-16.094560927530114,-14.60662675822067,33.47523139911575,36.98013708086849,57.18744080167711,0.19181102362204724,0.35874015748031496,0.6267716535433071,0.0941732283464567,0.9058267716535433
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,test,poster,random_forest_top_24,near,945,12.030992850613561,10.201576448437116,0.32500666296498254,0.27168567177568176,14.909370191325348,-0.10742871554872946,4.109177043705662,4.0467643295955185,24.407853081516198,28.600022848916943,50.61785602229908,0.25502645502645505,0.4931216931216931,0.8105820105820106,0.5925925925925926,0.4074074074074074
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,test,poster,random_forest_top_24,mid,754,9.51314878786885,8.457783992421568,0.11565294296733217,0.09642820295583476,11.715100554086158,-0.09794864793879832,6.44897960427142,6.860128407862618,19.419166796894416,22.59607721915512,32.63063471712823,0.3103448275862069,0.5875331564986738,0.9124668435013262,0.7586206896551724,0.2413793103448276
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,test,poster,random_forest_top_24,far,561,17.134885885398322,15.260363777699808,0.125319290678139,0.12464630006259812,20.501867389875386,-0.9281422422325973,-16.309683363052393,-15.25897310928049,32.929024273052946,36.37290033666048,47.034636429246675,0.1657754010695187,0.32620320855614976,0.6185383244206774,0.10160427807486631,0.8983957219251337
RF,raw_depth_geometry_metadata_rf,random_forest,cv_oof,poster,rf_unbounded,near,5356,3.965687134264325,2.281210317460321,0.09128828249091556,0.05622804232804232,6.273915104909711,0.8074378413484756,2.0448113748305614,0.48568121693121924,9.72797705314009,13.172606421356402,51.68331412680551,0.7094846900672144,0.905899925317401,0.984503360716953,0.6411501120238984,0.328790141896938
RF,raw_depth_geometry_metadata_rf,random_forest,cv_oof,poster,rf_unbounded,mid,4273,8.648345753773945,7.14317612942618,0.10133139938453598,0.08589393939393972,11.135081077459242,0.006010642659084242,1.304938643908532,0.19422161172161623,17.40091269841271,22.030589947089933,57.58906084656081,0.355019892347297,0.6620641235665808,0.9340042124970747,0.5080739527264218,0.4919260472735783
RF,raw_depth_geometry_metadata_rf,random_forest,cv_oof,poster,rf_unbounded,far,3175,10.948971223225588,9.45551184725096,0.08419026324060154,0.0733768438351772,13.317131063518778,0.1814453269730082,-5.32618430188491,-6.25922619047617,21.836995694141482,25.398548817467926,42.003698292448306,0.2532283464566929,0.5294488188976378,0.8626771653543307,0.2985826771653543,0.7014173228346456
RF,raw_depth_geometry_metadata_rf,random_forest,test,poster,rf_unbounded,near,945,3.8095423237239827,2.360740740740745,0.0876762208085234,0.05651818783068805,5.897764034372871,0.8267106113096736,1.8246159645567324,0.42833333333333456,9.470723764253181,12.162515873015883,31.494749355582684,0.7121693121693121,0.9079365079365079,0.9883597883597883,0.6338624338624339,0.3216931216931217
RF,raw_depth_geometry_metadata_rf,random_forest,test,poster,rf_unbounded,mid,754,8.5482409268568,7.011832311207293,0.10000461126125561,0.08285826602666904,11.30136680038955,-0.021767132455577265,0.757565548111754,-0.8067617336367192,16.82898351070228,21.665211170848266,54.91861111111112,0.363395225464191,0.6830238726790451,0.9403183023872679,0.46153846153846156,0.5384615384615384
RF,raw_depth_geometry_metadata_rf,random_forest,test,poster,rf_unbounded,far,561,11.053040091572807,9.381962481962375,0.08514012685347634,0.07355419620636978,13.496485216441673,0.16440930359710004,-4.404235034263611,-5.647757936507986,22.687749056499044,25.66761904761907,38.083107563732554,0.25846702317290554,0.5311942959001783,0.839572192513369,0.3065953654188948,0.6934046345811051
RF+jitter,rf_winner_baseline,aggregated_rf,cv_oof,poster,rf_deep,near,5356,3.593013141184989,1.9089499389499345,0.08323983825304317,0.04726421957671967,5.941181496288034,0.8273210855409756,1.9481394843484299,0.38400793650793474,8.983422364672368,12.362611374210807,53.17335955710955,0.7449589245705751,0.921396564600448,0.984503360716953,0.6327483196415236,0.3231889469753547
RF+jitter,rf_winner_baseline,aggregated_rf,cv_oof,poster,rf_deep,mid,4273,7.566253892114822,6.131327052577063,0.0890005508492758,0.0732749218374218,9.908844105245306,0.21287997972096773,0.16349426018679358,-1.0704629629629494,15.147466568032664,18.997754874411175,57.0477031573499,0.4196115141586707,0.728761993915282,0.9564708635619003,0.4533114907559092,0.5466885092440908
RF+jitter,rf_winner_baseline,aggregated_rf,cv_oof,poster,rf_deep,far,3175,9.443636605566835,7.510222244686503,0.07228116295134981,0.059382902591236,11.95247183741377,0.3406108413803106,-3.578103342992383,-3.7957646885278535,20.574217831598688,23.948025820176564,38.359477004476986,0.3467716535433071,0.6236220472440945,0.8903937007874015,0.35590551181102364,0.6440944881889764
RF+jitter,rf_winner_baseline,aggregated_rf,test,poster,rf_deep,near,945,3.4432164065710853,1.9288888888888849,0.07961322770914671,0.04426851851851836,5.58216949264333,0.8447601472676495,1.6208699905941082,0.2912698412698447,8.876057146557148,11.61097619047619,31.373273480332358,0.7619047619047619,0.9216931216931217,0.9904761904761905,0.6190476190476191,0.3333333333333333
RF+jitter,rf_winner_baseline,aggregated_rf,test,poster,rf_deep,mid,754,7.645536017479656,6.19192846383638,0.08963405069147619,0.07296093588950722,10.340071510975372,0.1446633691833239,-0.26137079107635286,-1.8056538831538802,15.129511803964629,18.821581024568726,56.267529601857774,0.40848806366047746,0.7387267904509284,0.9575596816976127,0.42838196286472147,0.5716180371352785
RF+jitter,rf_winner_baseline,aggregated_rf,test,poster,rf_deep,far,561,9.654349535095363,7.684886187587821,0.07402663069898878,0.05879940565071035,12.220754445735084,0.3149089959583715,-3.103930804640579,-3.346457547082565,21.134717990342978,24.902457268659617,35.51082341269847,0.3315508021390374,0.6060606060606061,0.8716577540106952,0.35294117647058826,0.6470588235294118
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,cv_oof,internal,xgb_deep,near,5356,3.489903925424908,2.0815696716308594,0.08296628777174206,0.054967705408732095,5.515043229126616,0.8512039123879368,1.5575032868075496,0.4976959228515625,8.176593780517578,11.667522430419922,55.907188415527344,0.7735250186706497,0.9333457804331591,0.9882374906646751,0.5825242718446602,0.4174757281553398
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,cv_oof,internal,xgb_deep,mid,4273,6.945935912414594,5.7738494873046875,0.08211239469117386,0.06813343593052455,9.043199760081029,0.3443995909672022,0.015664646783422984,-1.0648651123046875,13.987608337402346,17.383004760742164,57.72967529296875,0.43646150245729,0.7697168265855371,0.9691083547858648,0.4444184413760824,0.5555815586239177
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,cv_oof,internal,xgb_deep,far,3175,8.909261726920061,7.373497009277344,0.06853079052695371,0.0576409912109375,11.284403261038964,0.4122623126282875,-2.5398923354261504,-2.713226318359375,18.80164794921875,22.677933502197266,41.461151123046875,0.3521259842519685,0.6377952755905512,0.9209448818897638,0.38866141732283466,0.6113385826771653
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,test,internal,xgb_deep,near,945,3.4226134991519666,2.102407455444336,0.08125306284196372,0.053053855895996094,5.287856993582872,0.860698245268852,1.2871761564224486,0.30037498474121094,7.966732788085938,10.865393066406249,36.903663635253906,0.7746031746031746,0.9386243386243386,0.9894179894179894,0.564021164021164,0.43597883597883597
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,test,internal,xgb_deep,mid,754,6.9464341677152195,5.571498870849609,0.0817410852793548,0.06683539814419218,9.440775536332072,0.28697405818075084,-0.37088768045845333,-1.8709640502929688,13.840931701660159,17.357718658447272,56.88166809082031,0.45225464190981435,0.7824933687002652,0.9694960212201591,0.39920424403183025,0.6007957559681698
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,test,internal,xgb_deep,far,561,9.165328435506838,7.633445739746094,0.07051794404896551,0.058172939134680704,11.573271447138554,0.38558118252096607,-2.18556964078689,-2.7169113159179688,19.527976989746094,23.637252807617188,32.46025085449219,0.3493761140819964,0.6238859180035651,0.9073083778966132,0.3939393939393939,0.6060606060606061
ensemble,tuned_weight_blend,aggregated_blend,cv_oof,poster,rf_0.17_xgb_0.83,near,5356,3.445182666175007,1.9635967265295609,0.08151595562401846,0.05203030140569153,5.50612453037859,0.8516847769563596,1.623911440389498,0.5021343852694002,8.13101260399995,11.549126943057837,55.44243750959632,0.7716579536967887,0.935026138909634,0.9876773711725167,0.5933532486930545,0.4066467513069455
ensemble,tuned_weight_blend,aggregated_blend,cv_oof,poster,rf_0.17_xgb_0.83,mid,4273,6.951603235647631,5.697319490607512,0.08209863933767231,0.06788798811879052,9.063977054619398,0.3413835675717254,0.04079568106199351,-1.0179086731244382,14.20331163222242,17.373838754582643,57.613740029913544,0.43786566814884154,0.7713550198923473,0.9679382167095717,0.4474608003744442,0.5525391996255559
ensemble,tuned_weight_blend,aggregated_blend,cv_oof,poster,rf_0.17_xgb_0.83,far,3175,8.91203314358022,7.358018421886072,0.06847310093376363,0.05754752881316813,11.287191179658109,0.4119718644379202,-2.716388206712413,-2.8665516558214392,19.044724767979293,22.681641387413055,40.025135221982936,0.3543307086614173,0.6390551181102362,0.9162204724409448,0.38330708661417323,0.6166929133858268
ensemble,tuned_weight_blend,aggregated_blend,test,poster,rf_0.17_xgb_0.83,near,945,3.367032573901834,1.968813788883267,0.07956439414968892,0.050514488753465044,5.259823719224518,0.862171330876901,1.3439041082316296,0.2982491734822581,8.053539860255848,10.968227091021323,35.963497308917226,0.7724867724867724,0.9343915343915344,0.9894179894179894,0.5650793650793651,0.43492063492063493
ensemble,tuned_weight_blend,aggregated_blend,test,poster,rf_0.17_xgb_0.83,mid,754,6.959245575167316,5.580288514959321,0.08180733082237188,0.06638019606704396,9.478845638191832,0.2812118829386536,-0.35226980926349843,-1.7975845945355289,13.837602868242673,17.622192429043782,56.77726454769669,0.4482758620689655,0.7877984084880637,0.9694960212201591,0.4005305039787798,0.5994694960212201
ensemble,tuned_weight_blend,aggregated_blend,test,poster,rf_0.17_xgb_0.83,far,561,9.180114861303565,7.6049241374785765,0.07057905824914106,0.05917959039225494,11.58872623105516,0.3839391143606078,-2.3416910386420207,-2.6694182958737827,19.474878791935566,23.510354165207985,31.796603008410813,0.3404634581105169,0.6292335115864528,0.9073083778966132,0.39215686274509803,0.6078431372549019
