variant_name,model_name,split_name,true_distance_m,mean_true_distance_m,mean_predicted_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
geometry_dropout_030,rf,real_external,50.0,50.0,94.02072583255261,42,44.02072583255262,44.01438098938098,0.8804145166510525,0.8802876197876197,48.54499837154177,0.0,44.02072583255262,44.01438098938098,69.86283920246419,71.71049470899474,75.18877442002444,0.0,0.0,0.16666666666666666,1.0,0.0
geometry_dropout_030,rf,real_external,55.0,55.0,80.45340689196281,20,25.453406891962814,26.61272449407319,0.4627892162175057,0.48386771807405804,26.805854012224902,0.0,25.453406891962814,26.61272449407319,33.98163964738963,35.44402055814551,44.35264397639395,0.0,0.05,0.25,1.0,0.0
geometry_dropout_030,rf,real_external,60.0,60.0,81.59651957288851,13,21.59651957288851,21.09968781218781,0.35994199288147516,0.3516614635364635,22.942551348241718,0.0,21.59651957288851,21.09968781218781,26.461661949162,33.0714133921634,42.35264319014318,0.0,0.07692307692307693,0.46153846153846156,1.0,0.0
geometry_dropout_030,rf,real_external,65.0,65.0,100.5336826936953,19,35.53368269369529,40.271051587301585,0.5466720414414661,0.6195546398046398,37.12048060268512,0.0,35.53368269369529,40.271051587301585,45.19940644540647,46.926491762866775,47.49058862433861,0.0,0.0,0.15789473684210525,1.0,0.0
geometry_dropout_030,rf,real_external,70.0,70.0,118.87066006231088,12,48.87066006231087,50.80468280562029,0.6981522866044411,0.7257811829374328,49.25506884862994,0.0,48.87066006231087,50.80468280562029,54.9637362814319,55.24956320893275,55.58072547822546,0.0,0.0,0.0,1.0,0.0
geometry_dropout_030,rf,real_external,75.0,75.0,123.57758723164865,24,48.57758723164866,49.41415026615683,0.6477011630886486,0.6588553368820911,48.79985102919507,0.0,48.57758723164866,49.41415026615683,52.8647744200244,52.92229732485708,60.924232804232815,0.0,0.0,0.0,1.0,0.0
geometry_dropout_030,rf,real_external,9.0,9.0,23.150238095238095,26,14.150238095238093,14.07813492063492,1.572248677248677,1.56423721340388,14.161992794419005,0.0,14.150238095238093,14.07813492063492,14.928253968253966,15.205873015873014,15.436349206349202,0.0,0.0,1.0,1.0,0.0
geometry_dropout_030,xgb,real_external,10.0,10.0,19.31128020035593,19,9.311280200355931,9.387908935546875,0.931128020035593,0.9387908935546875,9.32149653938037,0.0,9.311280200355931,9.387908935546875,9.71711540222168,9.752421569824218,10.020532608032227,0.0,0.9473684210526315,1.0,1.0,0.0
geometry_dropout_030,xgb,real_external,15.0,15.0,31.121073376048695,44,16.121073376048695,12.912259101867676,1.0747382250699131,0.8608172734578451,17.4706636078285,0.0,16.121073376048695,12.912259101867676,27.11705474853516,28.78749828338623,31.537189483642578,0.0,0.11363636363636363,0.6818181818181818,1.0,0.0
geometry_dropout_030,xgb,real_external,20.0,20.0,42.26581042745839,46,22.26581042745839,23.51872444152832,1.1132905213729194,1.175936222076416,23.499869832398304,0.0,22.26581042745839,23.51872444152832,31.000988006591797,32.83821678161621,35.46543884277344,0.0,0.0,0.45652173913043476,1.0,0.0
geometry_dropout_030,xgb,real_external,25.0,25.0,47.297697339739116,42,22.29769733973912,20.355682373046875,0.8919078935895646,0.814227294921875,23.87157673739258,0.0,22.29769733973912,20.355682373046875,33.07478218078613,34.035947418212885,50.12664794921875,0.0,0.0,0.4523809523809524,1.0,0.0
