variant_name,model_name,split_name,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale_lognormal_full_geometry,rf,synthetic_holdout,9040,10.792551842961036,7.660429894179874,0.15174144602364847,0.12346454081632607,14.52656241568118,0.855285775151802,-0.25492043412355814,2.0917791005290933,24.92850198412696,31.03037563131312,64.39304690679688,0.3528761061946903,0.5899336283185841,0.8367256637168141,0.5826327433628319,0.4173672566371681
scale_lognormal_full_geometry,xgb,synthetic_holdout,9040,10.796026495283684,7.844432830810547,0.1515944202507432,0.12602409362792968,14.433605212481366,0.8571319364130311,-0.2901625367392481,1.994180679321289,24.633514404296875,30.40643310546875,65.76575469970703,0.34424778761061947,0.5879424778761062,0.8422566371681416,0.5777654867256637,0.4222345132743363
scale_lognormal_full_geometry,blend,synthetic_holdout,9040,10.657942028366163,7.611250972299729,0.1496247192571427,0.12242637713224762,14.308310722385622,0.8596015738595693,-0.2746560115883401,2.0898214137001574,24.605279860529816,30.50845529094827,62.359319471156454,0.35376106194690266,0.5966814159292035,0.8430309734513274,0.5801991150442478,0.4198008849557522
scale_lognormal_full_geometry,rf,real_external,489,34.60498637551977,33.17369047619048,1.3020760534501563,1.0175512799957243,38.11856264478882,-2.825971436644641,34.60498637551977,33.17369047619048,57.46420594220593,63.98219841269838,74.73276455026458,0.0,0.0,0.25766871165644173,1.0,0.0
scale_lognormal_full_geometry,xgb,real_external,489,29.302413269542235,26.269996643066406,1.0976858810638446,0.8096640268961589,33.85513582536655,-2.0179901095451043,29.2924529623644,26.269996643066406,55.09881134033203,62.59119720458985,75.4715805053711,0.012269938650306749,0.05112474437627812,0.4130879345603272,0.9979550102249489,0.002044989775051125
scale_lognormal_full_geometry,blend,real_external,489,31.62996766415277,29.09722411993117,1.1875378744563991,0.9140732363197287,35.61754926626777,-2.3403867977838444,31.62996766415277,29.09722411993117,56.07695825221604,63.23159729300706,75.14650148512423,0.002044989775051125,0.00408997955010225,0.3292433537832311,1.0,0.0
scale_lognormal_reduced_geometry,rf,synthetic_holdout,9040,11.451100354073864,8.408490359041828,0.1618882993715877,0.13204535520839866,15.208968572819265,0.8413701042753163,-0.07108964744871162,2.3137367724867595,25.767790430181755,31.89330889249634,67.14899591149593,0.3196902654867257,0.5643805309734513,0.8216814159292035,0.5810840707964602,0.4189159292035398
scale_lognormal_reduced_geometry,xgb,synthetic_holdout,9040,11.159153285385234,8.286673545837402,0.15748159398625233,0.12998261451721194,14.830598156847685,0.8491647494582466,-0.1433246873121346,2.309701919555664,25.05564422607422,31.101865005493135,69.1048583984375,0.32964601769911506,0.5700221238938054,0.8289823008849557,0.5841814159292036,0.41581858407079647
scale_lognormal_reduced_geometry,blend,synthetic_holdout,9040,11.148341851130569,8.132976006950898,0.15722489442814425,0.12927794840026513,14.839416980772933,0.8489853116510595,-0.1115412697722242,2.4098728084503556,25.18223833896536,31.123865316084558,66.7332504618004,0.3289823008849557,0.5761061946902655,0.8303097345132744,0.5825221238938053,0.4174778761061947
scale_lognormal_reduced_geometry,rf,real_external,489,28.255650892662857,25.501755651755637,1.1333923140820537,0.8892166005290999,31.305195298579825,-1.5804861125008816,28.249640704853082,25.501755651755637,48.222192640692626,53.0037589170089,68.31338095238095,0.002044989775051125,0.012269938650306749,0.3619631901840491,0.9979550102249489,0.002044989775051125
scale_lognormal_reduced_geometry,xgb,real_external,489,26.656423055808723,25.23073959350586,1.044441943019559,0.8413791232638889,29.76054760218225,-1.332118034143524,26.625552793709534,25.23073959350586,45.0332275390625,50.29752807617187,66.08656311035156,0.002044989775051125,0.053169734151329244,0.3885480572597137,0.9979550102249489,0.002044989775051125
scale_lognormal_reduced_geometry,blend,real_external,489,27.36008330402455,25.421106852148945,1.083580106287057,0.8653091982757729,30.400471293444976,-1.4334886448748176,27.3401514746127,25.421106852148945,46.317064444055084,51.8589216565135,67.0663629608445,0.00408997955010225,0.024539877300613498,0.3721881390593047,0.9979550102249489,0.002044989775051125
raw_depth_only,rf,synthetic_holdout,9040,29.306493090139778,23.92979707792207,0.529573629126938,0.3185770502645503,37.29915574991846,0.04592279992055215,-1.7710370246978615,-0.44104497354496885,62.95856481481484,75.2288396164021,126.90194444444444,0.12212389380530973,0.2361725663716814,0.4337389380530973,0.493141592920354,0.5054203539823009
raw_depth_only,xgb,synthetic_holdout,9040,26.036067962435496,21.587661743164062,0.4922750979874679,0.27152191162109374,32.796904824123,0.2623484949874588,-0.8066890520332134,0.4948577880859375,57.27740478515625,63.725589370727526,120.08812141418457,0.12898230088495574,0.2584070796460177,0.4722345132743363,0.5073008849557522,0.4926991150442478
raw_depth_only,blend,synthetic_holdout,9040,26.725118890899743,21.89887804329684,0.4986198769240627,0.2817374077722038,33.74049545346303,0.2192923679925758,-1.2310021600056538,-0.07589464282484926,57.87382638015667,66.83012683983212,116.5760485210439,0.130641592920354,0.25265486725663716,0.46758849557522125,0.49889380530973454,0.5011061946902655
raw_depth_only,rf,real_external,489,41.17439691613772,40.573670634920646,2.4428743175797347,1.3510674603174604,45.91873690312074,-4.55198849909831,40.80835064418653,40.573670634920646,69.26121560846562,78.23834656084655,100.8367658730158,0.02044989775051125,0.049079754601226995,0.16155419222903886,0.983640081799591,0.016359918200409
raw_depth_only,xgb,real_external,489,39.37959495107577,38.73204040527344,2.3700031834313706,1.2722021102905274,44.188235207760115,-4.1414072453926805,39.12238788799762,38.73204040527344,66.91051483154297,75.95343017578125,93.90643310546875,0.016359918200409,0.07157464212678936,0.19631901840490798,0.9856850715746421,0.014314928425357873
raw_depth_only,blend,real_external,489,40.13703661313728,39.314285908823166,2.401601765527297,1.3108743258581639,44.70745817431713,-4.262942788790012,39.86421150072074,39.314285908823166,67.37785824696698,76.01106455884177,93.12544138842384,0.012269938650306749,0.05725971370143149,0.18200408997955012,0.9856850715746421,0.014314928425357873
