model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,mean_relative_error
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,weather,light_rain,,,48,77.5,38.37859646556485,81.00076527537199,25.609174034481914,0.505124214999789
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,time_of_day,,10AM,,48,77.5,38.37859646556485,71.80389330214176,28.317658991477952,0.5235866174761287
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,time_of_day,,8PM,,48,77.5,38.37859646556485,83.18983002784495,26.293961756656103,0.5469239374127032
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,distance_range,,,far,24,130.0,14.719601443879744,92.68360398912712,37.47247659283331,0.27923925993030646
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,distance_range,,,mid,32,85.0,11.180339887498949,78.11777148890837,18.774066138000705,0.21955770966326066
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,distance_range,,,near,40,40.0,14.142135623730951,67.88808841138106,28.031206031660314,0.941422942177806
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,weather__distance_range,clear_sky,,far,12,130.0,14.719601443879744,87.69987494777007,42.30012505222992,0.3201092920658877
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,weather__distance_range,clear_sky,,mid,16,85.0,11.180339887498949,70.0220484968572,18.885650465205714,0.22045791920722208
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,weather__distance_range,clear_sky,,near,20,40.0,14.142135623730951,68.9455355649275,29.117276709262608,0.9884953051283928
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,weather__distance_range,light_rain,,far,12,130.0,14.719601443879744,97.66733303048416,32.64482813343671,0.23836922779472527
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,weather__distance_range,light_rain,,mid,16,85.0,11.180339887498949,86.21349448095957,18.662481810795697,0.21865750011929927
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,weather__distance_range,light_rain,,near,20,40.0,14.142135623730951,66.83064125783461,26.945135354058017,0.894350579227219
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,10AM,far,12,130.0,14.719601443879744,85.68347833913008,44.31652166086994,0.33165150174646946
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,10AM,mid,16,85.0,11.180339887498949,69.59443914765117,19.946277293936,0.22930503484966103
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,10AM,near,20,40.0,14.142135623730951,65.2437056035412,25.41544674787632,0.8741729530150982
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,8PM,far,12,130.0,14.719601443879744,99.68372963912418,30.628431524796696,0.2268270181141434
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,8PM,mid,16,85.0,11.180339887498949,86.64110383016559,17.60185498206541,0.20981038447686035
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,time_of_day__distance_range,,8PM,near,20,40.0,14.142135623730951,70.53247121922091,30.646965315444305,1.0086729313405134
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,weather,clear_sky,,,48,77.5,38.37859646556485,74.58030185322775,26.12730939903865,0.43241937656765844
bbox_expand_1_5x__bbox_midpoint__object_minus_ring,leave_one_out,weather,light_rain,,,48,77.5,38.37859646556485,80.27130067634282,27.39286675581457,0.5476714368594414
