method_id,context_window,aggregation_method,score_field,count,pearson_correlation,spearman_correlation,loocv_mae,loocv_median_absolute_error,loocv_mean_relative_error,loocv_median_relative_error,loocv_rmse,loocv_r2,loocv_mean_signed_error,loocv_median_signed_error,loocv_p90_absolute_error,loocv_p95_absolute_error,loocv_max_absolute_error,loocv_within_5m_rate,loocv_within_10m_rate,loocv_within_20m_rate,loocv_overprediction_rate,loocv_underprediction_rate,full_fit_intercept,full_fit_slope,rank,mae_gap_from_winner
full_image__inner50_median__object_minus_ring,full_image,inner50_median,object_minus_ring,480,-0.22157021663253787,-0.3187292025490049,31.622435603876266,30.26474890273228,0.6304146705181439,0.3504759627505132,37.555706630828986,0.04242301519147351,-0.022384332773316373,-0.5328716925717885,59.027993048376146,71.30028396968528,73.24644413819388,0.09166666666666666,0.175,0.33541666666666664,0.4979166666666667,0.5020833333333333,78.82226053625605,-66.02284222373177,36,6.160680927609569
bbox_expand_4x__bbox_mean__object_depth_percentile_5_95,bbox_expand_4x,bbox_mean,object_depth_percentile_5_95,480,-0.2001969107346472,-0.18944003811923857,31.745249670404565,29.92410043852456,0.644944497853558,0.35047968041371946,37.756189257815414,0.032172111611670995,-0.004644919285285217,0.8008340449373428,60.04538654238587,70.15990277500664,92.36842748762905,0.09583333333333334,0.17083333333333334,0.31875,0.50625,0.49375,96.1795670357257,-40.68729611953479,37,6.283494994137868
bbox_only__bbox_mean__object_depth_percentile_5_95,bbox_only,bbox_mean,object_depth_percentile_5_95,480,0.17341511994496864,0.14309786907791552,32.114785096409214,31.97470937174107,0.6421959035022782,0.3611045490597402,37.95142640065479,0.022136962368780266,0.031915954321400854,1.4494725026466,60.578768664350235,71.49193144450801,78.92227603735273,0.09583333333333334,0.16666666666666666,0.325,0.50625,0.49375,42.979684838644154,80.350065325425,38,6.653030420142517
bbox_expand_4x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_4x,bbox_midpoint,object_minus_ring_normalized,480,-0.18556658915052285,-0.2855206454847893,32.18717246294837,32.27217860282387,0.6527336140588156,0.3508621718163473,37.8697323159721,0.026342319196572372,-0.04483119014861169,0.7324169974110788,60.994681030137805,69.45872521402688,79.21947106663652,0.07708333333333334,0.15625,0.33125,0.5145833333333333,0.48541666666666666,80.8799023158857,-9.378213245265874,39,6.725417786681671
bbox_expand_4x__bbox_mean__object_minus_ring_normalized,bbox_expand_4x,bbox_mean,object_minus_ring_normalized,480,-0.17185303977986358,-0.2629072187231841,32.230042475808816,31.724380097770585,0.6548708163160663,0.349076147454388,37.95627960698728,0.021886849264748043,-0.0428040220927528,0.11405015074716829,59.652419550715756,70.1498294760148,78.08804608602534,0.075,0.1625,0.32708333333333334,0.5,0.5,79.66412088621269,-32.15123905558013,40,6.768287799542119
full_image__bbox_mean__object_minus_ring,full_image,bbox_mean,object_minus_ring,480,-0.12818172985475434,-0.16446057056170646,32.234589211152944,32.06917876296786,0.648909521931291,0.34189838572583886,38.19944855958332,0.009314034338046673,0.04969205450452516,-0.5900191369774817,58.26353183151136,72.12445085231805,74.15205110460717,0.09166666666666666,0.16875,0.3333333333333333,0.5,0.5,78.00745427637713,-77.06272090054327,41,6.772834534886247
full_image__bbox_midpoint__object_minus_ring_normalized,full_image,bbox_midpoint,object_minus_ring_normalized,480,-0.1694272575577112,-0.37760296419966916,32.28348249236108,28.93186885600685,0.6591786961620858,0.34864604831386425,38.65649682416911,-0.014534481505174446,-0.2371324374855173,-1.3236508099036328,58.40024714759641,71.84558327492525,175.65040023945164,0.08541666666666667,0.16875,0.3375,0.4979166666666667,0.5020833333333333,78.29271488518481,-71.0697658460562,42,6.821727816094384
bbox_expand_4x__bbox_mean__object_depth,bbox_expand_4x,bbox_mean,object_depth,480,-0.11364669820703163,-0.08049065458665387,32.29553205699243,31.858899355386654,0.6539373000976703,0.3631314929729771,38.28157941815352,0.005049398982702069,0.013547236916019756,2.5573258507186125,60.838434973430964,71.84367626898252,81.27532506001033,0.07291666666666667,0.17291666666666666,0.3375,0.5166666666666667,0.48333333333333334,90.86806427564709,-6.594492079240589,43,6.833777380725731
bbox_expand_4x__inner50_median__object_minus_ring_normalized,bbox_expand_4x,inner50_median,object_minus_ring_normalized,480,-0.14959755548475548,-0.23740613750415515,32.33167616199899,31.25089570929387,0.6574066614034885,0.35352939547711953,38.08229008095868,0.01538162298594592,-0.03475568523413888,-0.3296360434461718,59.700591929934085,70.6426252608533,75.96067273274613,0.075,0.15416666666666667,0.32916666666666666,0.4895833333333333,0.5104166666666666,79.55226271095918,-8.172719085163404,44,6.869921485732295
full_image__bbox_mean__object_minus_ring_normalized,full_image,bbox_mean,object_minus_ring_normalized,480,-0.12201654541899773,-0.1584717126861709,32.3620400503431,30.719079192663393,0.6530275558632346,0.3406191785834009,38.230884045361975,0.007682832323680278,0.007206714857941657,-1.5832444058910227,58.25173089163806,72.24534676693891,72.98484992174093,0.08541666666666667,0.16458333333333333,0.33541666666666664,0.4979166666666667,0.5020833333333333,77.89695514852338,-164.22329870441644,45,6.9002853740764
full_image__inner50_median__object_minus_ring_normalized,full_image,inner50_median,object_minus_ring_normalized,480,-0.1511477837162325,-0.3168737368443356,32.36877407350344,29.873847135661627,0.660148615084659,0.3486610296573659,38.56269908140806,-0.009617036793140965,-0.20238023993632812,-0.9071816544686371,58.28185778870324,72.02457492980425,148.472189033353,0.08541666666666667,0.17083333333333334,0.33541666666666664,0.4979166666666667,0.5020833333333333,78.12229951578188,-65.08658512070075,46,6.907019397236741
bbox_expand_1_5x__bbox_mean__object_depth,bbox_expand_1_5x,bbox_mean,object_depth,480,0.07960551249208586,0.11244431857707549,32.42109908057016,33.14102118365066,0.6590740222641972,0.3660474510252376,38.41686839198522,-0.001995435618973529,0.024397818881048274,2.299647277935982,60.488048104427115,71.9018713883198,78.73906880974737,0.09583333333333334,0.16041666666666668,0.3416666666666667,0.5145833333333333,0.48541666666666666,62.5763806043668,7.409866118287432,47,6.959344404303462
bbox_only__bbox_mean__object_minus_ring,bbox_only,bbox_mean,object_minus_ring,480,0.0,0.0,32.567849686847595,32.5678496868476,0.6621463077984818,0.35378052101297996,38.45871879639066,-0.0041797237634075834,-1.8947806286936005e-15,2.505219206680586,57.62004175365344,72.65135699373695,72.65135699373695,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.5,77.5,0.0,48,7.106095010580898
bbox_only__bbox_mean__object_minus_ring_normalized,bbox_only,bbox_mean,object_minus_ring_normalized,480,0.0,0.0,32.567849686847595,32.5678496868476,0.6621463077984818,0.35378052101297996,38.45871879639066,-0.0041797237634075834,-1.8947806286936005e-15,2.505219206680586,57.62004175365344,72.65135699373695,72.65135699373695,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.5,77.5,0.0,49,7.106095010580898
bbox_only__bbox_midpoint__object_minus_ring,bbox_only,bbox_midpoint,object_minus_ring,480,0.0,0.0,32.567849686847595,32.5678496868476,0.6621463077984818,0.35378052101297996,38.45871879639066,-0.0041797237634075834,-1.8947806286936005e-15,2.505219206680586,57.62004175365344,72.65135699373695,72.65135699373695,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.5,77.5,0.0,50,7.106095010580898
