seed,calibration_fraction,calibration_count,test_count,model,global_intercept,global_slope,global_scale,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,mean_signed_error,within_5m_rate,within_10m_rate,within_20m_rate
21,0.2,97,392,global_affine,-0.6297142032888754,0.5814151505409251,0.5730625539517175,7.801186340644437,7.096653395421004,0.29898505153674027,0.20603246681304782,9.50766381166016,0.06015568696982868,0.3903061224489796,0.6913265306122449,0.9642857142857143
21,0.2,97,392,global_scale_only,-0.6297142032888754,0.5814151505409251,0.5730625539517175,7.816982074167583,7.481086160824319,0.30668590824862985,0.20443516569177833,9.506537727021287,0.18228075187860027,0.3826530612244898,0.6913265306122449,0.9668367346938775
21,0.2,97,392,per_drone_affine,-0.6297142032888754,0.5814151505409251,0.5730625539517175,3.304942399164698,2.5404865028592107,0.14236023644392093,0.07423107022043018,4.560366195131839,-0.1226929915746258,0.7908163265306123,0.9489795918367347,1.0
22,0.2,97,392,raw_uncalibrated,-0.4606940397501346,0.5813699883042484,0.5752249766342306,26.198137392498154,22.181918758149727,1.0011408237576842,0.7456659431180332,30.57669717956814,26.198137392498154,0.002551020408163265,0.0663265306122449,0.461734693877551
22,0.2,97,392,global_affine,-0.4606940397501346,0.5813699883042484,0.5752249766342306,7.7325872708896695,7.157107877403894,0.29963947504735744,0.2069533348662992,9.45537379150674,0.2675770988310674,0.375,0.7040816326530612,0.9668367346938775
22,0.2,97,392,global_scale_only,-0.4606940397501346,0.5813699883042484,0.5752249766342306,7.750426580761042,7.454620321879389,0.30557065307707754,0.21037601112936943,9.455670599004092,0.3544025171459566,0.37244897959183676,0.6989795918367347,0.9668367346938775
22,0.2,97,392,per_drone_affine,-0.4606940397501346,0.5813699883042484,0.5752249766342306,3.330469396470841,2.5704307496862118,0.14411718031566226,0.08429441295284884,4.537063174098757,0.15595293454372092,0.7857142857142857,0.9489795918367347,1.0
23,0.2,97,392,raw_uncalibrated,-1.0461742396673082,0.5946862743789032,0.5805713518491287,26.289146306343557,22.2335933217511,1.0021137073962,0.7372221727871737,30.720924054309524,26.289146306343557,0.002551020408163265,0.07397959183673469,0.4642857142857143
23,0.2,97,392,global_affine,-1.0461742396673082,0.5946862743789032,0.5805713518491287,7.611267540969444,6.707001414654821,0.2938924682896065,0.20672380859096312,9.505581536368478,0.5463947391231913,0.4005102040816326,0.7244897959183674,0.9617346938775511
23,0.2,97,392,global_scale_only,-1.0461742396673082,0.5946862743789032,0.5805713518491287,7.6527939594095615,7.161311404303252,0.30718916180680816,0.210029908258835,9.495988220866247,0.7325184705210778,0.4005102040816326,0.7091836734693877,0.9617346938775511
23,0.2,97,392,per_drone_affine,-1.0461742396673082,0.5946862743789032,0.5805713518491287,3.5540257277712657,2.557087840394436,0.13977439240790657,0.09625501718766538,4.825313506169334,0.4987766557615709,0.7474489795918368,0.9413265306122449,1.0
24,0.2,97,392,raw_uncalibrated,1.1574249591451014,0.5436014434424994,0.5586827684050379,25.896426918808178,22.036594096331406,0.991165573879986,0.7350073220145573,30.061589459883926,25.896426918808178,0.002551020408163265,0.07653061224489796,0.4642857142857143
24,0.2,97,392,global_affine,1.1574249591451014,0.5436014434424994,0.5586827684050379,7.61045983890507,7.56481059919323,0.305568321034194,0.21315376687845144,9.231447354878675,-0.5761899828152749,0.3673469387755102,0.7117346938775511,0.9744897959183674
24,0.2,97,392,global_scale_only,1.1574249591451014,0.5436014434424994,0.5586827684050379,7.567414364154021,7.138386445116593,0.2905526068974393,0.2062162750375559,9.203652220832868,-0.8206023260269723,0.3826530612244898,0.7066326530612245,0.9744897959183674
24,0.2,97,392,per_drone_affine,1.1574249591451014,0.5436014434424994,0.5586827684050379,3.513769139114483,2.6119730729156334,0.1434262923418095,0.09262123366080735,4.747490080515554,-0.4476216339548742,0.7551020408163265,0.9464285714285714,1.0
25,0.2,97,392,raw_uncalibrated,-1.1526527703912377,0.5915930713295341,0.5762185767157276,26.166948729163146,21.570965036033613,0.9986824568100737,0.7324005543086487,30.618952881145308,26.166948729163146,0.002551020408163265,0.06887755102040816,0.4719387755102041
25,0.2,97,392,global_affine,-1.1526527703912377,0.5915930713295341,0.5762185767157276,7.784892101483959,6.703523794065688,0.29231266356401897,0.21684328874859882,9.578147834124291,0.1791499095328402,0.3852040816326531,0.6862244897959183,0.9668367346938775
25,0.2,97,392,global_scale_only,-1.1526527703912377,0.5915930713295341,0.5762185767157276,7.815834445400154,7.404266939847208,0.30643872069774725,0.2127054569683092,9.566893177646572,0.39688264707808335,0.37755102040816324,0.6862244897959183,0.9693877551020408
25,0.2,97,392,per_drone_affine,-1.1526527703912377,0.5915930713295341,0.5762185767157276,3.375898538765589,2.6534665083217552,0.1422845839012651,0.08874118803732903,4.602887070876649,-0.01143700678535317,0.7908163265306123,0.9438775510204082,1.0
26,0.2,97,392,raw_uncalibrated,0.3967941405691767,0.567827664058592,0.5730963364455343,26.215411008070944,22.073883037359565,1.0022665964059048,0.7328114068205842,30.507716790126892,26.215411008070944,0.002551020408163265,0.07142857142857142,0.4642857142857143
26,0.2,97,392,global_affine,0.3967941405691767,0.567827664058592,0.5730963364455343,7.705858979443993,7.647294170953484,0.3080804981420008,0.2093514053482104,9.378322985756066,0.3109452405049365,0.38010204081632654,0.6964285714285714,0.9719387755102041
26,0.2,97,392,global_scale_only,0.3967941405691767,0.567827664058592,0.5730963364455343,7.687152731735566,7.432133870584295,0.3027810056940386,0.20087772343386012,9.372785204240762,0.23479337685968374,0.3877551020408163,0.6989795918367347,0.9719387755102041
26,0.2,97,392,per_drone_affine,0.3967941405691767,0.567827664058592,0.5730963364455343,3.364495758495749,2.6700476232488377,0.15030183999402597,0.08583471911275559,4.515494456089213,0.26211642467058677,0.7882653061224489,0.9591836734693877,1.0
27,0.2,97,392,raw_uncalibrated,-1.3340450923142957,0.5951283925907301,0.5772564661047556,26.180486421720808,21.582579037205697,0.9987642272420937,0.7253225219227089,30.64209459812073,26.180486421720808,0.002551020408163265,0.07397959183673469,0.46938775510204084
27,0.2,97,392,global_affine,-1.3340450923142957,0.5951283925907301,0.5772564661047556,7.766774746764055,6.663761129925923,0.2913550674063687,0.21142556963514705,9.554576655294463,0.22079645240956391,0.39540816326530615,0.6887755102040817,0.9668367346938775
