dataset,dataset_group,distance_m,bbox_width_norm,bbox_area_ratio,bbox_height_norm
Original,Original,20.0,0.03503185,0.00180667,0.05157233
Original,Original,20.0,0.03644728,0.00215474,0.0591195
Original,Original,20.0,0.06687898,0.00357529,0.05345912
Original,Original,20.0,0.04953999,0.00105935,0.02138365
Original,Original,20.0,0.04670913,0.00287893,0.06163522
Original,Original,20.0,0.04458599,0.00243961,0.05471698
Original,Original,20.0,0.03998585,0.00216276,0.05408805
Original,Original,20.0,0.0403397,0.00058353,0.01446541
Original,Original,20.0,0.04069356,0.00281528,0.06918239
Original,Original,20.0,0.03043171,0.00168427,0.05534591
Original,Original,20.0,0.04812456,0.00130148,0.02704403
Original,Original,20.0,0.04741684,0.00220682,0.04654088
Original,Original,20.0,0.0428167,0.00301602,0.07044025
Original,Original,20.0,0.03750885,0.00146261,0.03899371
Original,Original,20.0,0.05343241,0.0031925,0.05974843
Original,Original,20.0,0.04812456,0.00096854,0.02012579
Original,Original,20.0,0.05201699,0.00294436,0.05660377
Original,Original,20.0,0.03715499,0.00179933,0.04842767
Original,Original,20.0,0.05414013,0.00153227,0.02830189
Original,Original,20.0,0.04387827,0.00270445,0.06163522
Original,Original,20.0,0.04741684,0.0009543,0.02012579
Original,Original,20.0,0.05626327,0.00240623,0.0427673
Original,Original,20.0,0.03680113,0.00205994,0.05597484
Original,Original,20.0,0.04352442,0.0030385,0.06981132
Original,Original,20.0,0.03432413,0.0022451,0.06540881
Original,Original,20.0,0.03326256,0.00182003,0.05471698
Original,Original,20.0,0.0403397,0.00154762,0.03836478
Original,Original,20.0,0.04423213,0.00333827,0.0754717
Original,Original,20.0,0.03821656,0.00252374,0.06603774
Original,Original,20.0,0.04317056,0.00282373,0.06540881
Original,Original,20.0,0.04175513,0.00259985,0.06226415
Original,Original,20.0,0.0403397,0.00263857,0.06540881
Original,Original,20.0,0.0552017,0.00086795,0.01572327
Original,Original,20.0,0.04069356,0.00227782,0.05597484
Original,Original,20.0,0.03821656,0.0007451,0.01949686
Original,Original,20.0,0.03609342,0.00161172,0.04465409
Original,Original,20.0,0.05626327,0.00311394,0.05534591
Original,Original,20.0,0.03503185,0.00052878,0.01509434
Original,Original,20.0,0.03963199,0.00254243,0.06415094
Original,Original,20.0,0.04352442,0.00202566,0.04654088
Original,Original,20.0,0.0452937,0.00102552,0.02264151
Original,Original,20.0,0.03644728,0.00204013,0.05597484
Original,Original,20.0,0.04069356,0.00163798,0.04025157
Original,Original,20.0,0.03963199,0.00206884,0.05220126
Original,Original,20.0,0.0378627,0.00233368,0.06163522
Original,Original,20.0,0.04317056,0.00276943,0.06415094
Original,Original,20.0,0.04635527,0.00137025,0.02955975
Original,Original,20.0,0.07041755,0.0028787,0.0408805
Original,Original,20.0,0.03573956,0.00132618,0.03710692
Original,Original,20.0,0.04493984,0.00059355,0.01320755
Original,Original,20.0,0.03609342,0.00059021,0.0163522
Original,Original,20.0,0.0527247,0.00301758,0.0572327
Original,Original,20.0,0.05237084,0.00197626,0.03773585
Original,Original,20.0,0.04246285,0.0017359,0.0408805
Original,Original,20.0,0.04564756,0.00166513,0.03647799
Original,Original,20.0,0.06723284,0.00135311,0.02012579
Original,Original,20.0,0.05095541,0.00150623,0.02955975
Original,Original,20.0,0.03892427,0.00186053,0.04779874
Original,Original,20.0,0.04458599,0.00288827,0.06477987
Original,Original,20.0,0.03821656,0.0018267,0.04779874
Original,Original,20.0,0.04246285,0.00090801,0.02138365
Original,Original,20.0,0.04069356,0.00225222,0.05534591
Original,Original,20.0,0.0428167,0.0017773,0.04150943
Original,Original,20.0,0.04175513,0.00199584,0.04779874
Original,Original,20.0,0.03255485,0.00163798,0.05031447
Original,Original,20.0,0.04140127,0.00127589,0.03081761
Original,Original,20.0,0.04493984,0.00130015,0.02893082
Original,Original,20.0,0.04246285,0.00240356,0.05660377
Original,Original,20.0,0.0378627,0.00240512,0.06352201
Original,Original,20.0,0.05095541,0.0031086,0.06100629
Original,Original,20.0,0.04140127,0.00255178,0.06163522
Original,Original,20.0,0.0626327,0.00126053,0.02012579
